Indicador;Nome;Tema;Base;Conceito;ODS
207;Proporção de matrículas em tempo integral na creche;2;Inep: Censo Escolar da Educação Básica;Percentual de crianças matriculadas na educação infantil em tempo integral em relação ao total de crianças matriculadas na mesma etapa de ensino, em determinado espaço geográfico, no ano considerado.;ODS 4
208;Proporção de matrículas em tempo integral na pré-escola;2;Inep: Censo Escolar da Educação Básica;Percentual de crianças matriculadas na educação infantil em tempo integral em relação ao total de crianças matriculadas na mesma etapa de ensino, em determinado espaço geográfico, no ano considerado.;ODS 4
209;Proporção de matrículas de crianças com deficiência em turmas do ensino regular em creches;2;Inep: Censo Escolar da Educação Básica;Percentual de crianças com deficiência matriculadas em turmas regulares em relação ao total de crianças com deficiência na mesma etapa de ensino, em determinado espaço geográfico, no ano considerado.;ODS 4
210;Proporção de matrículas de crianças com deficiência em turmas do ensino regular em pré-escolas;2;Inep: Censo Escolar da Educação Básica;Percentual de crianças com deficiência matriculadas em turmas regulares em relação ao total de crianças com deficiência na mesma etapa de ensino, em determinado espaço geográfico, no ano considerado.;ODS 4
301;Proporção cobertura vacinal para primeira infância;3;Ministério da Saúde: Sistema de Informações do PNI;Percentual de crianças zero a cinco anos vacinadas com vacinas específicas (BCG, Penta, Tríplice e Hepatite B), em determinado espaço geográfico, no ano considerado. ;ODS 3
302;Proporção de nascidos vivos que realizaram teste do pezinho;3;"Programa Nacional de Triagem Neonatal – CGSH/DAET/SAS/MS
Sistema de Informações sobre Nascidos Vivos - SINASC";Percentual de recém-nascidos que realizaram a coleta da primeira amostra para o teste do pezinho até o 5º dia de vida, no ano considerado. ;ODS 3
303;Taxa de detecção de aids em menores de cinco anos;3;Ministério da Saúde: Sistema de Informação de Agravos de Notificação – Sinan;Número de novos casos de Aids confirmados entre crianças de 0 a 5 anos para cada 100 mil crianças da mesma idade em determinado espaço geográfico, no ano considerado. ;ODS 3
304;Taxa de incidência de sífilis congênita;3;Ministério da Saúde: Sistema de Informação de Agravos de Notificação – Sinan;Número de novos casos de sífilis congênita (código A50 da CID-10), em cada mil crianças menores de um ano, em determinado espaço geográfico, por nascidos vivos de mães de mães residentes no mesmo espaço geográfico, no ano considerado ;ODS 3
305;Proporção de crianças de até seis meses com aleitamento materno exclusivo;3;IBGE: Pesquisa Nacional de Saúde - PNS;"Percentual de crianças menores de 6 meses que estão sendo alimentadas exclusivamente com leite materno, diretamente do peito ou por expressão, na população residente em determinado espaço geográfico, no ano considerado.

Ficha de Qualificação Adaptada do IDB-2012 e da PNAISC.";ODS 3
306;Prevalência de déficit de altura em menores de cinco anos;3;"Ministério da Saúde: Sistema de Vigilância Alimentar e Nutricional (SISVAN)
SISVANWEB: <http://sisaps.saude.gov.br/sisvan/relatoriopublico/index?";Percentual de crianças de 0 a 5 anos de idade acompanhadas pelo Sistema de Vigilância Alimentar e Nutricional que apresentam baixa estatura ou estatura muito baixa para a idade, em determinado espaço geográfico, no ano considerado ;"ODS 2; ODS 3"
307;Prevalência de déficit de peso em menores de cinco anos;3;"Ministério da Saúde: Sistema de Vigilância Alimentar e Nutricional (SISVAN)
SISVANWEB: <http://sisaps.saude.gov.br/sisvan/relatoriopublico/index?";Percentual de crianças de 0 a 5 anos de idade acompanhadas pelo Sistema de Vigilância Alimentar e Nutricional que apresentam baixo peso ou peso muito baixo para a idade, em determinado espaço geográfico, no ano considerado ;"ODS 2; ODS 3"
308;Prevalência de excesso de peso em crianças menores de cinco anos;3;"Ministério da Saúde: Sistema de Vigilância Alimentar e Nutricional (SISVAN)
SISVANWEB: <http://sisaps.saude.gov.br/sisvan/relatoriopublico/index?.
";Percentual de crianças de 0 a 5 anos de idade acompanhadas pelo Sistema de Vigilância Alimentar e Nutricional que apresentam sobrepeso ou obesidade, em determinado espaço geográfico, no ano considerado ;"ODS 2; ODS 3"
309;Taxa de mortalidade na infância;3;Ministério da Saúde: Sistema de Informações sobre Mortalidade (SIM), Sistema de Informações sobre Nascidos Vivos (Sinasc);Número de óbitos de menores de cinco anos, por mil nascidos vivos, na população residente em determinado espaço geográfico, no ano considerado. ;ODS 3
310;Proporção de nascidos vivos cujas mães realizaram pelo menos 7 consultas pré-natal;3;Ministério da Saúde: Sistema de Informações sobre Nascidos Vivos (Sinasc);Percentual de mulheres com filhos nascidos vivos que realizaram pelo menos sete consultas de pré-natal em relação ao total de mulheres com filhos nascidos vivos, na população residente em determinado espaço geográfico, no ano considerado.;"ODS 3; ODS 5"
311;Proporção de parto vaginal;3;Ministério da Saúde: Sistema de Informações sobre Nascidos Vivos (Sinasc);Percentual de partos vaginais no total de partos, na população residente em determinado espaço geográfico, no ano considerado.;"ODS 3; ODS 5"
312;Taxa de mortalidade materna;3;"Ministério da Saúde: 
Sistema de Informações sobre Mortalidade (SIM) 
Sistema de Informações sobre Nascidos Vivos (Sinasc)
";Número de óbitos maternos, por 100 mil nascidos vivos de mães residentes em determinado espaço geográfico, no ano considerado ;ODS 3
313;Proporção de hospitais com uti neonatal que possuem serviço banco de leite humano;3;Ministério da Saúde: Cadastro Nacional de Estabelecimentos do SUS;Percentual de hospitais com uti neonatal com serviço de banco de leite humano em relação ao total de hospitais com uti neonatal, em determinado espaço geográfico, no ano considerado. ;ODS 3
314;Internação por causas sensíveis a atenção básica;3;Ministério da Saúde: Sistema de Internações Hospitalares do SUS (SIH/SUS).;"Percentual de internações de crianças de 0 a 5 anos por condições sensíveis à atenção primária entre as internações clínicas, de residentes na mesma faixa etária em determinado espaço geográfico, no ano considerado. 
Para esse indicador, foram selecionadas as causas em que as ações de promoção prevenção e mesmo de cura e reabilitação, no nível primário da atenção, conseguem, em curto e médio espaço de tempo, diminuir o número de internações clínicas para o tratamento dessas doenças. A relação das condições sensíveis à Atenção Básica foi definida pela Portaria n° 221/2008 de acordo com a Décima Revisão da Classificação Internacional de Doenças (CID 10) e é  apresentada em anexo. 
. 

Ficha de Qualificação Adaptada do IDSUS e do Caderno de Diretrizes, objetivos, metas e indicadores 2013 a 1015.
http://bvsms.saude.gov.br/bvs/publicacoes/caderno_diretrizes_objetivos_2013_2015_2edicao.pdf.";ODS 3
315;Cobertura populacional estimada na Atenção Primária;3;"Divulgação: 
Secretaria de Atenção Primária à Saúde do Ministério da Saúde (SAPS/MS). 
Elaboração: 
Ministério da Saúde -  Cadastro Nacional de Estabelecimentos do SUS
IBGE - Estimativa populacional.";"Número médio de equipes da atenção primária à saúde, para cada 3.000 pessoas, em relação à população total residente em determinado espaço geográfico, no ano considerado.

Ficha de Qualificação Adaptada do IDSUS. Disponível em: https://egestorab.saude.gov.br/paginas/acessoPublico/relatorios/nota_tecnica/nota_metodologica_AB.pdf";ODS 3
316;Cobertura de saúde bucal;3;"Divulgação: 
Secretaria de Atenção Primária à Saúde do Ministério da Saúde (SAPS/MS). 
Elaboração: 
Ministério da Saúde -  Cadastro Nacional de Estabelecimentos do SUS
IBGE - Estimativa populacional.";"Número médio mensal de equipes de saúde bucal da atenção primária, para cada 3.000 pessoas, em relação à população residente em determinado espaço geográfico, no ano considerado.
São consideradas equipes de saúde bucal da atenção básica as Equipes de Saúde Bucal (ESB) das Equipes de Saúde da Família - ESF I e II com carga horária de trabalho de 40 horas semanais  e os cirurgiões dentistas não integrantes das ESB com carga horária de trabalho de 60 horas semanais.


Ficha de Qualificação Adaptada do IDSUS. Disponível em: https://egestorab.saude.gov.br/paginas/acessoPublico/relatorios/nota_tecnica/nota_metodologica_SB.pdf.";ODS 3
